Category,Retailer,Week,Year,Date,Ordered (Units),Dispatched (Units),Order ($),Dispatched ($),Inventory Total(Units)
Condiments,Ahold & Delhaize,1,2020,1/6/2020,70466,70382,156732.78,156505.89,467986
Condiments,Ahold & Delhaize,2,2020,1/13/2020,147446,127560,320826,297952.559,500087
Condiments,Ahold & Delhaize,3,2020,1/20/2020,293224,264712,779300.81,722176.094,618105
Condiments,Ahold & Delhaize,4,2020,1/27/2020,95026,75250,184181.01,169560.965,588191
Condiments,Ahold & Delhaize,5,2020,2/3/2020,109426,86390,238630.5,202727.87,582341
Condiments,Ahold & Delhaize,6,2020,2/10/2020,80418,64800,128405.13,112948.135,541635
Condiments,Ahold & Delhaize,7,2020,2/17/2020,45824,37352,63610.14,55066.49,478759
Condiments,Ahold & Delhaize,8,2020,2/24/2020,149550,141528,436251.33,414208.213,491605
Condiments,Ahold & Delhaize,9,2020,3/2/2020,135672,121470,301111.21,289765.968,518982
Condiments,Ahold & Delhaize,10,2020,3/9/2020,191318,182504,482104.07,467636.838,523598
Condiments,Ahold & Delhaize,11,2020,3/16/2020,131884,102046,347275.9,286278.567,436893
Condiments,Ahold & Delhaize,12,2020,3/23/2020,142078,124546,396297.12,378169.636,331859
Condiments,Ahold & Delhaize,13,2020,3/30/2020,165024,131664,463402.67,371025.716,356131
Condiments,Ahold & Delhaize,14,2020,4/6/2020,174042,111480,392494.66,283203.405,331227
Condiments,Ahold & Delhaize,15,2020,4/13/2020,423447,147735,1171531.94,348428.692,334876
Condiments,Ahold & Delhaize,16,2020,4/20/2020,247596,198972,700265.58,564323.16,411739
Condiments,Ahold & Delhaize,17,2020,4/27/2020,147612,101268,384587.08,269123.007,339040
Condiments,Ahold & Delhaize,18,2020,5/4/2020,217098,163590,596751.46,466811.875,399595
Condiments,Ahold & Delhaize,19,2020,5/11/2020,212040,154740,548070.93,426514.591,377612
Condiments,Ahold & Delhaize,20,2020,5/18/2020,618018,461940,1874962.35,1424329.178,660716
Condiments,Ahold & Delhaize,21,2020,5/25/2020,299338,176950,854721.06,470577.221,664685
Condiments,Ahold & Delhaize,22,2020,6/1/2020,207036,149196,601655.53,435309.264,634654
Condiments,Ahold & Delhaize,23,2020,6/8/2020,101480,54428,212376.83,113255.512,543647
Condiments,Ahold & Delhaize,24,2020,6/15/2020,80188,54784,170140.23,124762.807,438968
Condiments,Ahold & Delhaize,25,2020,6/22/2020,199746,156300,493472.33,400768.568,
Condiments,Ahold & Delhaize,26,2020,6/29/2020,146614,114366,399554.66,360802.59,
Condiments,CVS,1,2020,1/6/2020,324,324,639.91,639.91,38458
Condiments,CVS,2,2020,1/13/2020,24597,24501,110337.94,110274.77,53250
Condiments,CVS,3,2020,1/20/2020,20226,20202,90504.73,90373.4,71402
Condiments,CVS,4,2020,1/27/2020,45450,45450,214864.65,214864.65,101295
Condiments,CVS,5,2020,2/3/2020,1500,972,2253.96,1717.91,11724
Condiments,CVS,6,2020,2/10/2020,3456,3384,14611.07,14563.85,10300
Condiments,CVS,7,2020,2/17/2020,3162,1194,3022.09,2660.14,8160
Condiments,CVS,8,2020,2/24/2020,1664,896,2152.28,1648.71,7786
Condiments,CVS,9,2020,3/2/2020,1290,1050,3201.7,3044.05,7122
Condiments,CVS,10,2020,3/9/2020,1870,1576,3689.37,2090.47,5380
Condiments,CVS,11,2020,3/16/2020,4620,4620,11262.3,11262.3,5380
Condiments,CVS,12,2020,3/23/2020,300,300,1006.66,1006.66,2762
Condiments,CVS,13,2020,3/30/2020,7971,7956,30430.18,30364.4,1328
