category,date,original,dispatched,order$,ship$
condiments,2018-01-01,2766642.0,2619974.0,10095259.100000001,9487971.072
skin care,2018-01-01,1813916.0,1493102.0,5758683.929999999,4504747.086
ic-other,2018-01-01,594.0,594.0,8175.860000000001,8175.860000000001
hair care,2018-01-01,4866176.0,4110691.0,16026248.280000001,12907748.007
tea,2018-01-01,1035478.0,999299.0,3279278.159999999,3076675.674999999
q-tips,2018-01-01,785154.0,631874.0,2001735.96,1508392.602
svg other personal care,2018-01-01,119361.0,113333.0,805773.0700000002,693778.0460000001
deo,2018-01-01,3389087.0,3018607.0,12119358.020000001,10635089.933999998
personal wash,2018-01-01,3020600.0,2792716.0,13178722.84,11610350.659999998
ice cream,2018-01-01,5194793.0,5032968.0,13889271.859999998,13440868.128
home care,2018-01-01,507348.0,423308.0,2110176.0300000003,1712467.0080000001
savoury,2018-01-01,6754085.0,6092318.0,7213405.899999998,5908583.239
hair care,2018-01-08,6842174.0,5713736.0,23557827.759999998,18798807.742000006
skin care,2018-01-08,3088051.0,2648932.0,9340387.549999999,7824925.227000001
svg other personal care,2018-01-08,237647.0,232080.0,1379570.2900000003,1282774.4970000004
savoury,2018-01-08,10258844.0,9294712.0,11258909.489999998,9618718.693999998
tea,2018-01-08,2305779.0,1842022.0,6931520.550000001,5667662.095000001
home care,2018-01-08,1079072.0,894176.0,4232281.400000001,3639680.1540000006
ic-other,2018-01-08,720.0,720.0,9893.1,9893.1
ice cream,2018-01-08,8553424.0,8204763.0,22926380.089999992,21966338.543999992
deo,2018-01-08,5362718.0,4685278.0,17653064.169999998,15160642.011000002
q-tips,2018-01-08,952421.0,799505.0,2688205.45,2211913.796
condiments,2018-01-08,3855847.0,3692297.0,13501025.770000003,12835686.164
personal wash,2018-01-08,5184789.0,4726033.0,22152100.55000001,20023947.269
ice cream,2018-01-15,11847251.0,11394448.0,31117014.029999986,29618506.125999987
hair care,2018-01-15,8955929.0,7656104.0,29595452.530000012,24734851.388
svg other personal care,2018-01-15,199575.0,193416.0,1212811.6699999997,1077951.1560000002
skin care,2018-01-15,4170563.0,3309053.0,11719521.63,10097739.735999998
ic-other,2018-01-15,258.0,288.0,3913.7699999999995,3913.7699999999995
savoury,2018-01-15,11703406.0,10882436.0,13125568.29,11462076.730000002
home care,2018-01-15,1095323.0,928441.0,4182103.1700000013,3675855.1230000006
tea,2018-01-15,2234593.0,2063245.0,6680515.619999998,6282155.713
deo,2018-01-15,7178594.0,6348745.0,24631295.680000003,21483959.381999996
q-tips,2018-01-15,875298.0,809327.0,2206061.41,1989379.8960000004
condiments,2018-01-15,5768027.0,4364505.0,16454879.439999998,15633455.459999995
personal wash,2018-01-15,7456325.0,6358690.0,31164686.08,25978904.826000005
personal wash,2018-01-22,7904553.0,6397459.0,37914703.28999998,27070891.648000002
deo,2018-01-22,8153082.0,6818897.0,29636527.120000005,24308629.413000006
svg other personal care,2018-01-22,324591.0,302475.0,1984042.4000000004,1803974.3130000003
hair care,2018-01-22,10368356.0,8993019.0,33709265.000000015,28816225.261000004
q-tips,2018-01-22,1166181.0,1109483.0,2998353.48,2867156.1980000003
savoury,2018-01-22,14695634.0,11566494.0,16834055.79,11766974.470000003
skin care,2018-01-22,4023651.008,3194952.0,12520507.49000001,10121488.382000009
ice cream,2018-01-22,14264879.0,13436103.0,38467656.56999998,36132889.51599999
home care,2018-01-22,1102320.0,958619.0,4257271.109999999,3684674.277
condiments,2018-01-22,5630401.0,5306837.0,21163723.240000002,19886122.229999997
ic-other,2018-01-22,504.0,270.0,6439.98,3710.6199999999994
tea,2018-01-22,2050079.0,1841206.0,6309636.789999998,5694721.538
home care,2018-01-29,1284637.0,1152357.0,5054566.739999997,4548624.825000001
personal wash,2018-01-29,8734735.0,7614204.0,38733304.15999999,32289939.154999997
ic-other,2018-01-29,354.0,342.0,4861.57,4696.99
hair care,2018-01-29,9374356.0,8536244.0,27735296.46,24451018.205
savoury,2018-01-29,10759706.0,10288457.0,11089033.23,10286790.853
deo,2018-01-29,7469229.0,6999089.0,24636011.01,22728702.576999992
svg other personal care,2018-01-29,324031.0,310320.0,1731718.2099999995,1637880.1659999997
tea,2018-01-29,1978976.0,1802403.0,6269330.6400000015,5664519.225000001
condiments,2018-01-29,5434999.0,4391497.0,15659508.630000003,14596393.485
q-tips,2018-01-29,1412185.0,1148274.0,2868322.1999999993,2606203.9669999992
skin care,2018-01-29,3462885.0039999997,2908648.0,10050832.599999996,8538450.885000004
